ts,o,h,l,c,v
1759435680,0.00012507820616864372,0.00012507820616864372,0.00012015789041807507,0.00012074177780911229,247.8811821075856
1759435560,0.00012297208581037638,0.00012507820616864372,0.00012297208581037638,0.00012507820616864372,104.8769337095097
1759435500,0.0001429985828079184,0.0001429985828079184,0.00012151820733190667,0.00012297208581037638,1127.915512170166
1759435440,0.00014692772520754165,0.00014692772520754165,0.0001429985828079184,0.0001429985828079184,539.8826677412545
1759435380,0.00014959031292943392,0.0001510315497942554,0.00014692772520754165,0.00014692772520754165,261.61015898400194
1759435320,0.0001355463229327604,0.00015024179905055328,0.00012833996934799474,0.00014959031292943392,1812.2319985207337
1759435260,7.793875396390381e-05,0.0001355463229327604,7.793875396390381e-05,0.0001355463229327604,4132.381674330596
1759435080,7.688127726533387e-05,7.831383518059342e-05,7.688127726533387e-05,7.793875396390381e-05,126.85354083285573
1759435020,7.373826921667595e-05,7.688127726533387e-05,7.373826921667595e-05,7.688127726533387e-05,253.93942135842363
1759434780,6.793023990306257e-05,7.396521922333783e-05,6.793023990306257e-05,7.373826921667595e-05,447.4792566397708
1759434300,6.959156106373295e-05,6.959156106373295e-05,6.793023990306257e-05,6.793023990306257e-05,120.4921588155701
1759434180,7.021669809587239e-05,7.021669809587239e-05,6.959156106373295e-05,6.959156106373295e-05,50.981466998422746
1759434120,7.11028718189067e-05,7.11028718189067e-05,7.021669809587239e-05,7.021669809587239e-05,60.86256680386192
1759434060,7.089098328243415e-05,7.11028718189067e-05,7.089098328243415e-05,7.11028718189067e-05,23.270889600334783
1759433880,7.153884938096525e-05,7.153884938096525e-05,7.089098328243415e-05,7.089098328243415e-05,70.89098328739652
1759433760,6.237450324009323e-05,7.153884938096525e-05,6.237450324009323e-05,7.153884938096525e-05,23.61712335649284
1759433460,6.057559183440188e-05,6.266432674449753e-05,6.057559183440188e-05,6.237450324009323e-05,2658.0234336059298
1759433340,7.029866811180284e-05,7.127492395924605e-05,6.057559183440188e-05,6.057559183440188e-05,3276.9419275032883
1759433280,7.364962790933268e-05,7.364962790933268e-05,5.806288724486612e-05,7.029866811180284e-05,3650.3722017416885
1759433220,7.40760220602839e-05,7.40760220602839e-05,7.364962790933268e-05,7.364962790933268e-05,6.759512830610388
1759433160,7.565039416400425e-05,7.565039416400425e-05,6.1033659790778446e-05,7.40760220602839e-05,3666.2075732992294
1759433100,7.647594285717785e-05,7.647594285717785e-05,6.256870356864763e-05,7.565039416400425e-05,3346.7320362965024
1759432980,7.348238712102112e-05,7.731838933292679e-05,7.348238712102112e-05,7.647594285717785e-05,582.269985481354
1759432920,6.394358498822432e-05,7.88162527642211e-05,6.310691007610552e-05,7.348238712102112e-05,20908.046020349404
1759432860,7.021683502851325e-05,7.744259004964058e-05,6.394358498822432e-05,6.394358498822432e-05,7070.575177796302
1759432800,7.005610873216911e-05,7.184203932067185e-05,5.220713509358771e-05,7.021683502851325e-05,25698.58903032249
1759432740,4.8604731780769476e-05,7.42145109089847e-05,4.8604731780769476e-05,7.005610873216911e-05,20035.040012759044
1759432680,5.364730426289181e-05,6.92167697349637e-05,4.831613058435709e-05,4.8604731780769476e-05,24199.61797803322
1759432620,6.233773232910389e-06,5.364730426289181e-05,2.33985857975992e-06,5.364730426289181e-05,7333.542986946996
